study_type,poverty_context,mechanism,behavior,title,date
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Resource volatility",Risk preferences,Investing,Adoption of weather‐index insurance: learning from willingness to pay among a panel of households in rural Ethiopia,2013
Observational,"Low resource level, Physical environment, Human capital inputs","Anxiety, Stress",Medication adherence,Health and Child Rearing Status of Infants and Preschool Children in Poverty - For the We Start Program in Kyunggi Province -,2008
"Observational, Case-study, Interviews",Low resource level,"Anxiety, Depression, Internalized stigma",Educational achievement,Female Corporeality and the Sublimation of Pain: A Study of The Pakistani Bride by Bapsi Sidhwa,2021
"Observational, Cross-sectional",Low resource level,Self-efficacy,Investing,"Effect of Participation in Development Initiatives on Competitive Advantages, Performance, and Sustainability of Micro-Enterprises in Malaysia",2021
"Case-study, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy, Self esteem","Educational achievement, Family interaction",A Case for the Common Good: How Training in Faith-based Media Literacy Helped Teachers Address Social Justice Issues in the Classroom,2019
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Social environment",Locus of control,"Labor Supply, Occupational choice",Racialized Re-entry: Labor Market Inequality After Incarceration,2018
"Observational, Case-study, Interviews","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Promoting the Educational Attainment of Adults,2010
"Observational, Cross-sectional","Low resource level, Insufficient info",Stress,"Consumption, Exercise",HIV-Associated Wasting,2013
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Self esteem",Family interaction,Leisure Patterns and Values in Adolescents from Serbia born in 1990s: An Attempt at Building a Bridge between the Two Domains,2020
"Observational, Cross-sectional",Low resource level,"Anxiety, Self esteem",Educational achievement,What Factors Affect Rural Teenager Students’ Academic Performance and Well Beings? A Study of Surveys from Rural Elementary and Middle School Students in Henan Province,2023
"Observational, Cross-sectional",Low resource level,Aspirations,Educational achievement,Access to Education. An Assessment of the Situation in Russia,2014
"Ethnography, Interviews",Low resource level,"Happiness, Self-efficacy",Family interaction,"Compassionate Communication, Embodied Aboutness, and Homeless Young Adults",2016
"Observational, Ethnography","Low resource level, Social environment","Stress, Risk preferences","Consumption, Investing",Pesticide Vendors in the Informal Sector,2016
"Observational, Interviews","Low resource level, Human capital inputs","Self-efficacy, Self esteem",Parenting,Mellow Futures – An adapted parenting programme for mothers with learning difficulties in England and Scotland. Professionals' views on the outcomes,2020
"Observational, Cross-sectional",Low resource level,"Memory, Locus of control","Borrowing, Investing",Financial Literacy and Debt Literacy Amid the Poor,2012
"Ethnography, First-hand observations, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Internalized stigma","Educational achievement, Family interaction","Embracing risky refuge: women, land laws and livelihood vulnerabilities in rural Kenya",2021
"Observational, Interviews",Low resource level,Self-efficacy,Occupational choice,"Starting up, not slowing down: Social entrepreneurial intentions in later working-life",2022
"Observational, Difference-in-difference",Low resource level,Internalized stigma,"Crime, Educational achievement","Influence of Authoritarian Parenting Style on Forms of Delinquent Behaviour Among Secondary School Students in Butere Sub- County, Kenya",2019
"Observational, Cross-sectional, Interviews","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,MICHAEL GOVE’S HERITAGE: SCHOOL GOVERNANCE REFORM,2021
"Observational, First-hand observations","Low resource level, Resource volatility, Physical environment","Stress, Self-efficacy","Consumption, Saving",Renewable energy in remote communities,2007
"Observational, Longitudinal / Panel",Low resource level,"Time preferences, Risk preferences",Consumption,"Distributional change, income mobility and pro-poor growth: evidence from India",2019
"Observational, Interviews","Low resource level, Social environment",Internalized stigma,Educational achievement,"Biopsychosocial Determinants of Early Marriage in Wonogiri District, Central Java: A Logistic Regression",2019
"Observational, Cross-sectional","Low resource level, Human capital inputs",Self esteem,Educational achievement,Medical approach and ableism versus a human rights vision: discourse analysis of upper secondary education policy documents in Iceland,2018
"Observational, Interviews","Low resource level, Physical environment",Self-efficacy,Food diet,Role of women in pond fish farming and fish consumption situation in a selected area of Bangladesh,2019
"Interviews, Observational",Low resource level,"Aspirations, Locus of control",Educational achievement,Understanding the New Islamic Populism: Al-Mukmin Ngruki Islamic Boarding School,2022
Observational,Low resource level,Locus of control,"Labor Supply, Consumption",Labour-Intensive Jobs for Women and Development: Intra-household Welfare Effects and Its Transmission Channels,2017
"Observational, Cross-sectional","Low resource level, Resource volatility","Time preferences, Risk preferences","Consumption, Saving",Post Covid-19: recovering and sustaining India’s growth,2020
Observational,Low resource level,"Risk preferences, Stress",Food diet,"Risk Amplification, Risk Preference and Acceptance of Transgenic Technology",2023
Observational,"Low resource level, Social environment","Anxiety, Stress",Family interaction,Immigration policy: Separating children from parents unnecessary and costly trauma,2017
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy","Investing, Occupational choice",False Myths and Indigenous Entrepreneurial Strategies,2006
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Anxiety, Stress",Family interaction,"Severe congenital malformations, family functioning and parents' separation/divorce: a longitudinal study",2015
"Observational, Cross-sectional",Low resource level,Locus of control,Educational achievement,Fixing Special Education,2007
"Observational, Cross-sectional",Low resource level,Locus of control,Educational achievement,Why women choose to give birth at home: a situational analysis from urban slums of Delhi,2014
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Locus of control",Consumption,"Welfare States, Labour Market Institutions and the Working Poor: A Comparative Analysis of 20 European Countries",2008
"Observational, Ethnography","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,Flipping the City: Space and Subjectivity in the São Paulo Periphery,2019
Observational,"Low resource level, Social environment","Anxiety, Depression, Stress",Medication adherence,Engaging with adolescents to navigate the Adolescents’ Resilience and Treatment nEeds for Mental health in Indian Slums (ARTEMIS) trial,2022
"Observational, Interviews","Low resource level, Social environment","Anxiety, Depression, Stress","Crime, Violence","Understanding the Relationships Among Poverty, Child Maltreatment, and Child Protection Involvement: Perspectives of Service Users and Practitioners",2021
